TRANSACTION TYPE,PAID IN,,,,,
SEND MONEY:,0,"464,868.00",,,,
RECEIVED MONEY:,"572,293.00",0,,,,
AGENT DEPOSIT:,"179,370.00",0,,,,
AGENT WITHDRAWAL:,0,"86,873.00",,,,
LIPA NA M-PESA (PAYBILL):,0,"258,081.00",,,,
LIPA NA M-PESA (BUY GOODS):,0,"96,431.20",,,,
OTHERS:,"440,058.00","263,957.00",,,,
TOTAL:,"1,191,721.00","1,170,210.20",,,,
Receipt No.,Completion Time,Details,Transaction Status,Paid In,Withdrawn,Balance
RAA53ADSLZ,1/10/2023 12:28,,Completed,,-180,220.9
RAA939H40V,1/10/2023 12:17,,Completed,,-300,400.9
RA87YH2UL3,1/8/2023 18:56,,Completed,,-6,220.9
RA87YH2UL3,1/8/2023 18:56,,Completed,,-200,226.9
RA87YG1OXT,1/8/2023 18:47,,Completed,,-12,426.9
RA87YG1OXT,1/8/2023 18:47,,Completed,,-600,438.9
RA86YFZ4WG,1/8/2023 18:46,,Completed,"1,000.00",,"1,038.90"
RA74W6O29Q,1/7/2023 19:02,,Completed,,-6,38.9
RA74W6O29Q,1/7/2023 19:02,,Completed,,-310,44.9
RA70W4FGA8,1/7/2023 18:43,,Completed,300,,354.9
RA79V3ELG9,1/7/2023 12:14,,Completed,,-6,54.9
RA79V3ELG9,1/7/2023 12:14,,Completed,,-320,60.9
RA73V1NP5X,1/7/2023 11:55,,Completed,,-10,380.9
RA79V1CJBZ,1/7/2023 11:51,,Completed,,-10,390.9
RA74V0ZN5A,1/7/2023 11:47,,Completed,400,,400.9
RA62TR0LWS,1/6/2023 19:27,,Completed,,-9,0.9
RA61TQXGFR,1/6/2023 19:27,,Completed,5,,9.9
RA69S8FQWP,1/6/2023 9:56,,Completed,,-5,4.9
RA60RYULVM,1/6/2023 7:44,,Completed,,-35,9.9
RA51R0OZT1,1/5/2023 18:22,,Completed,,-4,44.9
RA51R0OZT1,1/5/2023 18:22,,Completed,,-300,48.9
RA50QLA3CI,1/5/2023 15:47,,Completed,,-10,348.9
RA52QKZNCQ,1/5/2023 15:44,,Completed,,-28,358.9
RA52QKZNCQ,1/5/2023 15:44,,Completed,,"-1,125.00",386.9
RA50QIGD1G,1/5/2023 15:16,,Completed,"1,500.00",,"1,511.90"
RA57Q09P89,1/5/2023 11:48,,Completed,,-20,11.9
Statement Verification Code,"To verify the validity of this M-PESA statement dial *334#, select My account and follow theprompts to enter the code.",,,,,
,,,,,,
LLHKTUZR,,,,,,
Receipt No.,Completion Time,,Transaction Status,Paid In,Withdrawn,Balance
RA41O89UMN,1/4/2023 16:21,,Completed,0,,31.9
RA42NXA6Y6,1/4/2023 14:17,,Completed,,-10,31.9
RA44NPCHA2,1/4/2023 12:48,,Completed,,-27,41.9
RA44NPCHA2,1/4/2023 12:48,,Completed,,-450,68.9
